family_label,waves,attempted_cells,computed_cells,dropped_cells,coverage_rate,recovered_cells,mode
Mirae Asset Discovery Funds,1,3015,88,2927,0.0291873963515754,0,offline_scope_only_equals_baseline
DFA Investment Dimensions Group Inc.,2,2879,1669,1210,0.5797151788815561,0,offline_scope_only_equals_baseline
MIXED,11,2116,1625,491,0.7679584120982986,0,offline_scope_only_equals_baseline
Dimensional Investment Group Inc.,1,990,679,311,0.6858585858585858,0,offline_scope_only_equals_baseline
Fidelity Commonwealth Trust II,1,735,540,195,0.7346938775510204,0,offline_scope_only_equals_baseline
"Bridgeway Funds, Inc.",1,553,369,184,0.6672694394213382,0,offline_scope_only_equals_baseline
Fidelity Summer Street Trust,2,224,149,75,0.6651785714285714,0,offline_scope_only_equals_baseline
Goldman Sachs Trust,1,180,158,22,0.8777777777777778,0,offline_scope_only_equals_baseline
BlackRock ETF Trust,1,166,151,15,0.9096385542168676,0,offline_scope_only_equals_baseline
Trust for Professional Managers,1,137,111,26,0.8102189781021898,0,offline_scope_only_equals_baseline
Legg Mason Trust,1,109,98,11,0.8990825688073395,0,offline_scope_only_equals_baseline
"The RBB Fund, Inc.",2,100,74,26,0.74,0,offline_scope_only_equals_baseline
"Leuthold Funds, Inc.",1,87,74,13,0.8505747126436781,0,offline_scope_only_equals_baseline
Calamos Investment Trust,1,83,69,14,0.8313253012048193,0,offline_scope_only_equals_baseline
Baron Select Funds,1,76,53,23,0.6973684210526315,0,offline_scope_only_equals_baseline
Guinness Atkinson Funds,1,69,20,49,0.2898550724637681,0,offline_scope_only_equals_baseline
"Harding, Loevner Funds, Inc.",1,65,16,49,0.2461538461538461,0,offline_scope_only_equals_baseline
BBH Trust,1,62,49,13,0.7903225806451613,0,offline_scope_only_equals_baseline
BG Funds,1,58,30,28,0.5172413793103449,0,offline_scope_only_equals_baseline
Manager Directed Portfolios,1,56,38,18,0.6785714285714286,0,offline_scope_only_equals_baseline
Thrivent Core Funds,1,55,34,21,0.6181818181818182,0,offline_scope_only_equals_baseline
FundX Investment Trust,2,50,0,50,0.0,0,offline_scope_only_equals_baseline
abrdn Funds,2,47,30,17,0.6382978723404256,0,offline_scope_only_equals_baseline
"BNY Mellon Investment Funds IV, Inc.",1,46,40,6,0.8695652173913043,0,offline_scope_only_equals_baseline
NORTHERN LIGHTS FUND TRUST II,1,41,35,6,0.8536585365853658,0,offline_scope_only_equals_baseline
Two Roads Shared Trust,1,38,8,30,0.2105263157894736,0,offline_scope_only_equals_baseline
Bridgeway Funds,1,37,32,5,0.8648648648648649,0,offline_scope_only_equals_baseline
"The Lazard Funds, Inc.",1,37,13,24,0.3513513513513513,0,offline_scope_only_equals_baseline
Franklin Custodian Funds,1,33,28,5,0.8484848484848485,0,offline_scope_only_equals_baseline
Advisors Series Trust,1,31,25,6,0.8064516129032258,0,offline_scope_only_equals_baseline
Forum Funds,1,31,22,9,0.7096774193548387,0,offline_scope_only_equals_baseline
The Advisors' Inner Circle Fund,1,26,17,9,0.6538461538461539,0,offline_scope_only_equals_baseline
Investment Managers Series Trust II,1,19,10,9,0.5263157894736842,0,offline_scope_only_equals_baseline
"AB Bond Fund, Inc.",1,14,3,11,0.2142857142857142,0,offline_scope_only_equals_baseline
"AB Cap Fund, Inc.",1,9,6,3,0.6666666666666666,0,offline_scope_only_equals_baseline
Northern Lights Fund Trust IV,1,7,0,7,0.0,0,offline_scope_only_equals_baseline
BlackRock Funds,1,7,6,1,0.8571428571428571,0,offline_scope_only_equals_baseline
Professionally Managed Portfolios,1,7,7,0,1.0,0,offline_scope_only_equals_baseline
Series Portfolios Trust,1,3,0,3,0.0,0,offline_scope_only_equals_baseline
Guggenheim Strategy Funds Trust,1,3,0,3,0.0,0,offline_scope_only_equals_baseline
Advisor Managed Portfolios,1,1,0,1,0.0,0,offline_scope_only_equals_baseline
JPMorgan Trust II,1,1,0,1,0.0,0,offline_scope_only_equals_baseline
Metropolitan West Funds,1,1,1,0,1.0,0,offline_scope_only_equals_baseline
Matthews International Funds (dba Matthews Asia Funds),1,1,0,1,0.0,0,offline_scope_only_equals_baseline
TCW Metropolitan West Funds,1,1,0,1,0.0,0,offline_scope_only_equals_baseline
