wave_id,computed_cells,dropped_cells,attempted_cells,coverage_rate,effective_date,year,is_anchor,family_label,asset_class_label,recovered_cells,mode
W001,20,49,69,0.2898550724637681,2021-03-26,2021,0,Guinness Atkinson Funds,equity_intl,0,offline_scope_only_equals_baseline
W002,1546,1036,2582,0.5987606506584043,2021-06-11,2021,1,DFA Investment Dimensions Group Inc.,equity_US,0,offline_scope_only_equals_baseline
W003,123,174,297,0.4141414141414141,2021-09-10,2021,0,DFA Investment Dimensions Group Inc.,equity_intl,0,offline_scope_only_equals_baseline
W004,10,9,19,0.5263157894736842,2021-09-24,2021,0,Investment Managers Series Trust II,other,0,offline_scope_only_equals_baseline
W005,41,23,64,0.640625,2021-12-10,2021,0,"The RBB Fund, Inc.",,0,offline_scope_only_equals_baseline
W006,111,26,137,0.8102189781021898,2022-02-18,2022,0,Trust for Professional Managers,other,0,offline_scope_only_equals_baseline
W007,679,311,990,0.6858585858585858,2022-05-06,2022,0,Dimensional Investment Group Inc.,equity_US,0,offline_scope_only_equals_baseline
W008,490,199,689,0.7111756168359942,2022-05-20,2022,0,MIXED,MIXED,0,offline_scope_only_equals_baseline
W009,0,1,1,0.0,2022-06-09,2022,0,JPMorgan Trust II,equity_intl,0,offline_scope_only_equals_baseline
W010,8,30,38,0.2105263157894736,2022-08-01,2022,0,Two Roads Shared Trust,equity_intl,0,offline_scope_only_equals_baseline
W011,0,7,7,0.0,2022-09-09,2022,0,Northern Lights Fund Trust IV,other,0,offline_scope_only_equals_baseline
W012,32,5,37,0.8648648648648649,2022-10-14,2022,0,Bridgeway Funds,equity_US,0,offline_scope_only_equals_baseline
W013,0,25,25,0.0,2022-10-17,2022,0,FundX Investment Trust,,0,offline_scope_only_equals_baseline
W014,0,1,1,0.0,2022-10-21,2022,0,MIXED,MIXED,0,offline_scope_only_equals_baseline
W015,0,1,1,0.0,2022-10-24,2022,0,Advisor Managed Portfolios,equity_US,0,offline_scope_only_equals_baseline
W016,98,11,109,0.8990825688073395,2022-10-28,2022,0,Legg Mason Trust,equity_US,0,offline_scope_only_equals_baseline
W017,158,22,180,0.8777777777777778,2023-01-20,2023,0,Goldman Sachs Trust,,0,offline_scope_only_equals_baseline
W018,17,9,26,0.6538461538461539,2023-02-13,2023,0,The Advisors' Inner Circle Fund,,0,offline_scope_only_equals_baseline
W019,369,184,553,0.6672694394213382,2023-03-10,2023,0,"Bridgeway Funds, Inc.",equity_US,0,offline_scope_only_equals_baseline
W020,88,2927,3015,0.0291873963515754,2023-04-15,2023,0,Mirae Asset Discovery Funds,equity_intl,0,offline_scope_only_equals_baseline
W021,3,11,14,0.2142857142857142,2023-05-12,2023,0,"AB Bond Fund, Inc.",fixed_income,0,offline_scope_only_equals_baseline
W022,104,55,159,0.6540880503144654,2023-06-09,2023,0,Fidelity Summer Street Trust,,0,offline_scope_only_equals_baseline
W023,45,20,65,0.6923076923076923,2023-06-16,2023,0,Fidelity Summer Street Trust,,0,offline_scope_only_equals_baseline
W025,0,1,1,0.0,2023-07-14,2023,0,Matthews International Funds (dba Matthews Asia Funds),equity_intl,0,offline_scope_only_equals_baseline
W026,35,4,39,0.8974358974358975,2023-07-27,2023,0,MIXED,MIXED,0,offline_scope_only_equals_baseline
W028,0,25,25,0.0,2023-10-09,2023,0,FundX Investment Trust,MIXED,0,offline_scope_only_equals_baseline
W029,75,21,96,0.78125,2023-10-13,2023,0,MIXED,MIXED,0,offline_scope_only_equals_baseline
W030,146,48,194,0.7525773195876289,2023-10-20,2023,0,MIXED,MIXED,0,offline_scope_only_equals_baseline
W031,28,5,33,0.8484848484848485,2023-11-03,2023,0,Franklin Custodian Funds,equity_US,0,offline_scope_only_equals_baseline
W032,540,195,735,0.7346938775510204,2023-11-17,2023,0,Fidelity Commonwealth Trust II,MIXED,0,offline_scope_only_equals_baseline
W033,38,18,56,0.6785714285714286,2023-12-04,2023,0,Manager Directed Portfolios,equity_intl,0,offline_scope_only_equals_baseline
W039,1,0,1,1.0,2024-06-24,2024,0,Metropolitan West Funds,fixed_income,0,offline_scope_only_equals_baseline
W040,6,3,9,0.6666666666666666,2024-07-12,2024,0,"AB Cap Fund, Inc.",equity_intl,0,offline_scope_only_equals_baseline
W042,35,6,41,0.8536585365853658,2024-10-04,2024,0,NORTHERN LIGHTS FUND TRUST II,equity_US,0,offline_scope_only_equals_baseline
W043,6,1,7,0.8571428571428571,2024-11-18,2024,0,BlackRock Funds,equity_intl,0,offline_scope_only_equals_baseline
W044,74,13,87,0.8505747126436781,2024-12-12,2024,0,"Leuthold Funds, Inc.",,0,offline_scope_only_equals_baseline
W045,22,9,31,0.7096774193548387,2024-12-16,2024,0,Forum Funds,equity_US,0,offline_scope_only_equals_baseline
W048,30,16,46,0.6521739130434783,2025-02-14,2025,0,abrdn Funds,MIXED,0,offline_scope_only_equals_baseline
W049,40,6,46,0.8695652173913043,2025-03-28,2025,0,"BNY Mellon Investment Funds IV, Inc.",equity_US,0,offline_scope_only_equals_baseline
W051,13,24,37,0.3513513513513513,2025-04-30,2025,0,"The Lazard Funds, Inc.",equity_intl,0,offline_scope_only_equals_baseline
W052,33,3,36,0.9166666666666666,2025-05-02,2025,0,"The RBB Fund, Inc.",,0,offline_scope_only_equals_baseline
W054,82,20,102,0.803921568627451,2025-07-11,2025,0,MIXED,MIXED,0,offline_scope_only_equals_baseline
W056,25,6,31,0.8064516129032258,2025-08-21,2025,0,Advisors Series Trust,MIXED,0,offline_scope_only_equals_baseline
W057,151,15,166,0.9096385542168676,2025-09-05,2025,0,BlackRock ETF Trust,other,0,offline_scope_only_equals_baseline
W058,417,138,555,0.7513513513513513,2025-09-12,2025,0,MIXED,equity_US,0,offline_scope_only_equals_baseline
W059,19,4,23,0.8260869565217391,2025-09-26,2025,0,MIXED,MIXED,0,offline_scope_only_equals_baseline
W062,0,3,3,0.0,2025-10-13,2025,0,Series Portfolios Trust,equity_US,0,offline_scope_only_equals_baseline
W063,0,1,1,0.0,2025-10-17,2025,0,abrdn Funds,MIXED,0,offline_scope_only_equals_baseline
W064,18,11,29,0.6206896551724138,2025-10-24,2025,0,MIXED,MIXED,0,offline_scope_only_equals_baseline
W065,34,21,55,0.6181818181818182,2025-11-14,2025,0,Thrivent Core Funds,equity_US,0,offline_scope_only_equals_baseline
W066,49,13,62,0.7903225806451613,2025-11-17,2025,0,BBH Trust,,0,offline_scope_only_equals_baseline
W067,53,23,76,0.6973684210526315,2025-12-12,2025,0,Baron Select Funds,,0,offline_scope_only_equals_baseline
W070,7,0,7,1.0,2026-02-06,2026,0,Professionally Managed Portfolios,,0,offline_scope_only_equals_baseline
W071,53,11,64,0.828125,2026-03-16,2026,0,MIXED,MIXED,0,offline_scope_only_equals_baseline
W072,0,3,3,0.0,2026-04-30,2026,0,Guggenheim Strategy Funds Trust,fixed_income,0,offline_scope_only_equals_baseline
W073,30,28,58,0.5172413793103449,2026-06-01,2026,0,BG Funds,MIXED,0,offline_scope_only_equals_baseline
W074,0,1,1,0.0,2026-06-08,2026,0,TCW Metropolitan West Funds,fixed_income,0,offline_scope_only_equals_baseline
W075,16,49,65,0.2461538461538461,2026-07-17,2026,0,"Harding, Loevner Funds, Inc.",equity_intl,0,offline_scope_only_equals_baseline
W076,69,14,83,0.8313253012048193,2026-09-18,2026,0,Calamos Investment Trust,equity_US,0,offline_scope_only_equals_baseline
W078,290,34,324,0.8950617283950617,2026-11-20,2026,0,MIXED,MIXED,0,offline_scope_only_equals_baseline
