wave_id,effective_date,n_funds,is_anchor
W001,2021-03-26,2,0
W002,2021-06-11,4,1
W003,2021-09-10,2,0
W004,2021-09-24,1,0
W005,2021-12-10,2,0
W006,2022-02-18,1,0
W007,2022-05-06,1,0
W008,2022-05-20,4,0
W009,2022-06-09,1,0
W010,2022-08-01,1,0
W011,2022-09-09,1,0
W012,2022-10-14,1,0
W013,2022-10-17,2,0
W014,2022-10-21,2,0
W015,2022-10-24,1,0
W016,2022-10-28,1,0
W017,2023-01-20,1,0
W018,2023-02-13,1,0
W019,2023-03-10,1,0
W020,2023-04-15,2,0
W021,2023-05-12,1,0
W022,2023-06-09,5,0
W023,2023-06-16,2,0
W024,2023-07-13,2,0
W025,2023-07-14,1,0
W026,2023-07-27,2,0
W027,2023-07-28,1,0
W028,2023-10-09,2,0
W029,2023-10-13,3,0
W030,2023-10-20,2,0
W031,2023-11-03,1,0
W032,2023-11-17,6,0
W033,2023-12-04,1,0
W034,2024-01-26,1,0
W035,2024-03-22,2,0
W036,2024-06-07,2,0
W037,2024-06-14,1,0
W038,2024-06-21,1,0
W039,2024-06-24,1,0
W040,2024-07-12,1,0
W041,2024-09-20,1,0
W042,2024-10-04,1,0
W043,2024-11-18,1,0
W044,2024-12-12,1,0
W045,2024-12-16,1,0
W046,2025-02-07,1,0
W047,2025-02-10,1,0
W048,2025-02-14,2,0
W049,2025-03-28,1,0
W050,2025-04-04,2,0
W051,2025-04-30,1,0
W052,2025-05-02,1,0
W053,2025-06-20,1,0
W054,2025-07-11,3,0
W055,2025-08-08,1,0
W056,2025-08-21,3,0
W057,2025-09-05,2,0
W058,2025-09-12,3,0
W059,2025-09-26,2,0
W060,2025-10-03,1,0
W061,2025-10-06,1,0
W062,2025-10-13,1,0
W063,2025-10-17,2,0
W064,2025-10-24,2,0
W065,2025-11-14,1,0
W066,2025-11-17,2,0
W067,2025-12-12,2,0
W068,2026-01-09,5,0
W069,2026-01-23,1,0
W070,2026-02-06,1,0
W071,2026-03-16,2,0
W072,2026-04-30,2,0
W073,2026-06-01,3,0
W074,2026-06-08,1,0
W075,2026-07-17,1,0
W076,2026-09-18,1,0
W077,2026-11-06,1,0
W078,2026-11-20,2,0
